"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Metric Name","Metric Unit","Minimum","Maximum","Average"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_cooperative_multi_device_launch","","","","0"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_deferred_mapping_cuda_array_supported","","","","1"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_device_index","","","","0"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_direct_managed_mem_access_from_host","","","","0"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_display_name","","","","NVIDIA GeForce RTX 5070 Ti Laptop GPU"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_dma_buf_supported","","","","0"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_ecc_enabled","","","","0"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_fb_bus_width","","","","192"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_fbp_count","","","","3"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_generic_compression_supported","","","","1"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_global_l1_cache_supported","","","","1"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_global_memory_bus_width","","","","192"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_gpu_direct_rdma_flush_writes_options","","","","0"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_gpu_direct_rdma_supported","","","","0"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_gpu_direct_rdma_with_cuda_vmm_supported","","","","0"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_gpu_direct_rdma_writes_ordering","","","","100"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_gpu_overlap","","","","1"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_gpu_pci_device_id","","","","790.106.334"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_gpu_pci_ext_device_id","","","","12.056"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_gpu_pci_ext_downstream_link_rate","","","","32.000"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_gpu_pci_ext_downstream_link_width","","","","8"
